,Suburb,VALUE,SUM,Losses (Theor),TOTAL
0,NE_UNKNOWN,Total Water Demand,16.0,6.857142925262451,22.85714340209961
1,NO_CATEGORY,Total Water Demand,5303008.0,2272716.25,7575753.5
